"projectId","ProjectName","SupplierID","SupplierName","state","paid_at","PlannedTransDate","expectedDateVARreceivedGoods","actualDateVARreceivedGoods","TransCurrency","FXforCashFlowFrankBalance","TotalAmount","TransAmount","AdvFeeUSDEqv","Notes","dealOwner"
10319,"RugeroMed Ltd, 2016-3",10443,"Nurel","PENDING_MILESTONE_COMPLETION","2016-11-15","2016-11-14 06:00:00","2017-01-23 06:00:00","2017-01-31 06:00:00","USD",1,27163,-27162.4,-27162.4,"  ","kB"
10319,"RugeroMed Ltd, 2016-3",10443,"Nurel","PENDING_MILESTONE_COMPLETION","2017-02-22","2016-11-14 06:00:00","2017-01-23 06:00:00","2017-01-31 06:00:00","USD",1,27163,-27163,-27163,"  ","kB"
10539,"BIOPHARMACIA 2016-13",10496,"BD - Becton Dickinson","PENDING_MILESTONE_COMPLETION","2017-01-24","2017-01-08 06:00:00",,,"USD",1,48023.04,-48023.04,-48023.04,"  ",
10539,"BIOPHARMACIA 2016-13",10494,"VWR We Enable Science","PENDING_MILESTONE_COMPLETION","2017-01-24","2017-01-08 06:00:00",,,"EUR",1,14056.16,-14056.16,-14056.16,"  ",
10563,"Kashconsult ltd, 2016-1 ",10517,"Guangzhou XY Printing Co., LTD","PENDING_MILESTONE_COMPLETION","2017-02-22","2017-02-17 06:00:00","2017-06-23 05:00:00","2017-05-16 05:00:00","USD",1,56725,-56725,-56725,"  ","kB"
10563,"Kashconsult ltd, 2016-1 ",10517,"Guangzhou XY Printing Co., LTD","PENDING_MILESTONE_COMPLETION",,,"2017-06-23 05:00:00","2017-05-16 05:00:00","USD",,56725,,,"  ","kB"
10805,"Information Technology, 2017-1 ",10546,"Aequasys Limited","PENDING_MILESTONE_COMPLETION","2017-04-04",,,,"USD",1,24674,-24674,-24674,"  ","kB"
10805,"Information Technology, 2017-1 ",10546,"Aequasys Limited","PENDING_MILESTONE_COMPLETION","2017-04-04",,,,"USD",1,24674,-24674,-24674,"  ","kB"
10805,"Information Technology, 2017-1 ",10545,"Cloud Database Network Security","PENDING_MILESTONE_COMPLETION","2017-04-04",,,,"USD",1,8700,-8700,-8700,"  ","kB"
10805,"Information Technology, 2017-1 ",10543,"REDINGTON GULF FZE","PENDING_MILESTONE_COMPLETION","2017-04-04",,,,"USD",1,23280,-23280,-23280,"  ","kB"
10805,"Information Technology, 2017-1 ",10542,"Interdist Alliance LTD","PENDING_MILESTONE_COMPLETION","2017-04-04",,,,"USD",1,22751.7,-22751.7,-22751.7,"  ","kB"
10805,"Information Technology, 2017-1 ",10544,"COMPUTECH Limited","PENDING_MILESTONE_COMPLETION","2017-04-13",,,,"USD",1,1999.21,-1999.21,-1999.21,"  ","kB"
10805,"Information Technology, 2017-1 ",10540,"Matrix Group Limited","PENDING_MILESTONE_COMPLETION","2017-04-13",,,,"USD",1,12340,-68212,-68212,"  ","kB"
10805,"Information Technology, 2017-1 ",10540,"Matrix Group Limited","PENDING_MILESTONE_COMPLETION","2017-04-13",,,,"USD",1,68212,-68212,-68212,"  ","kB"
10805,"Information Technology, 2017-1 ",10541,"Westcon Africa","PENDING_MILESTONE_COMPLETION","2017-04-19",,,,"USD",1,4606.74,-4606.74,-4606.74,"  ","kB"
10805,"Information Technology, 2017-1 ",10542,"Interdist Alliance LTD","PENDING_MILESTONE_COMPLETION","2017-04-19",,,,"USD",1,11017.5,-11017.5,-11017.5,"  ","kB"
10805,"Information Technology, 2017-1 ",10543,"REDINGTON GULF FZE","PENDING_MILESTONE_COMPLETION","2017-05-10",,,,"USD",1,23280,-23280,-23280,"  ","kB"
10805,"Information Technology, 2017-1 ",10544,"COMPUTECH Limited","PENDING_MILESTONE_COMPLETION",,,,,"USD",,1999,,,"  ","kB"
10805,"Information Technology, 2017-1 ",10575,"Symphony Rwanda Limited","PENDING_MILESTONE_COMPLETION",,,,,"USD",,3253,,,"  ","kB"
10822,"AgilSys Ltd, 2017-1 ",10528,"LNV Digital Systems Ltd","PENDING_MILESTONE_COMPLETION","2017-02-17","2017-02-13 06:00:00","2017-03-14 05:00:00","2017-03-01 06:00:00","USD",1,5088,-5089,-5089,"  ","kB"
10881,"K&A TECHNOLOGY AND GENERAL BUSINESS LTD, 2017-2 ",10532,"Rototype SPA","PENDING_MILESTONE_COMPLETION","2017-03-16","2017-02-26 06:00:00","2017-03-27 05:00:00","2017-04-06 05:00:00","USD",1,26249,-26249,-26249,"  ","kB"
10882,"K&A TECHNOLOGY AND GENERAL BUSINESS LTD, 2017-3 ",10532,"Rototype SPA","PENDING_MILESTONE_COMPLETION",,"2017-02-26 06:00:00","2017-03-27 05:00:00","2017-04-10 05:00:00","EUR",,5384,,,"  ","kB"
10883,"K&A TECHNOLOGY AND GENERAL BUSINESS LTD, 2017-4 ",10532,"Rototype SPA","PENDING_MILESTONE_COMPLETION","2017-03-16","2017-02-26 06:00:00","2017-03-27 05:00:00","2017-04-10 05:00:00","USD",1,7911,-7911,-7911,"  ","kB"
11028,"Information Technology, 2017-2 ",10581,"Eldama Technologies","PENDING_MILESTONE_COMPLETION","2017-04-13",,,,"USD",1,4407,-4407,-4407,"  ","kB"
11028,"Information Technology, 2017-2 ",10583,"Sai Office","PENDING_MILESTONE_COMPLETION","2017-04-13",,,,"USD",1,13480.44,-13480.44,-13480.44,"  ","kB"
11028,"Information Technology, 2017-2 ",10582,"Network and Communication Technology","PENDING_MILESTONE_COMPLETION","2017-04-20",,,,"USD",1,58388,-58388,-58388,"  ","kB"
11028,"Information Technology, 2017-2 ",10542,"Interdist Alliance LTD","PENDING_MILESTONE_COMPLETION","2017-04-13",,,,"USD",1,6102,-6102,-6102,"  ","kB"
11028,"Information Technology, 2017-2 ",10542,"Interdist Alliance LTD","PENDING_MILESTONE_COMPLETION","2017-04-13",,,,"USD",1,6685,-6685,-6685,"  ","kB"
11028,"Information Technology, 2017-2 ",10542,"Interdist Alliance LTD","PENDING_MILESTONE_COMPLETION","2017-04-13",,,,"USD",1,8057,-8057,-8057,"  ","kB"
11028,"Information Technology, 2017-2 ",10539,"Matrix Group Limited","PENDING_MILESTONE_COMPLETION","2017-04-24",,,,"USD",1,3750,-3750,-3750,"  ","kB"
11028,"Information Technology, 2017-2 ",10539,"Matrix Group Limited","PENDING_MILESTONE_COMPLETION",,,,,"USD",,3750,,,"  ","kB"
11032,"ELECTRITE CO. LTD, 2017-1 ",10537,"Captain Andy's Fishing Supply Ltd","PENDING_MILESTONE_COMPLETION","2017-04-03","2017-03-28 05:00:00","2017-04-25 05:00:00","2017-04-25 05:00:00","USD",1,19845.86,-19845.86,-19845.86,"  ","kB"
11032,"ELECTRITE CO. LTD, 2017-1 ",10537,"Captain Andy's Fishing Supply Ltd","PENDING_MILESTONE_COMPLETION","2017-04-03","2017-03-28 05:00:00","2017-04-25 05:00:00","2017-04-25 05:00:00","USD",1,19845.86,-18845.86,-18845.86,"  ","kB"
11032,"ELECTRITE CO. LTD, 2017-1 ",10537,"Captain Andy's Fishing Supply Ltd","PENDING_MILESTONE_COMPLETION","2017-04-03","2017-03-28 05:00:00","2017-04-25 05:00:00","2017-04-25 05:00:00","USD",1,19845.86,-19845.86,-19845.86,"  ","kB"
11104,"KEYSTONE HOSPITALITY LTD, 2017-2 ",10593,"Jian' AO Trade (HK) Co, Ltd","LEGAL_INCOMPLETE",,"2017-04-26 05:00:00",,,"USD",,33503,,,"  ",
11104,"KEYSTONE HOSPITALITY LTD, 2017-2 ",10592,"Sheffield Steel Systems Limited","LEGAL_INCOMPLETE",,"2017-04-26 05:00:00",,,"USD",,131833,,,"  ",
11104,"KEYSTONE HOSPITALITY LTD, 2017-2 ",10592,"Sheffield Steel Systems Limited","LEGAL_INCOMPLETE",,"2017-05-25 05:00:00",,,"USD",,87889,,,"  ",
11049,"biopharmacia company ltd, 2017-1 ",10496,"BD - Becton Dickinson","PROJECT_PLAN_INCOMPLETE",,"2017-05-03 05:00:00","2017-05-28 05:00:00","2017-05-28 05:00:00","USD",,7207,,,"  ",
11072,"Abon East Africa Ltd, 2017-1 ",10587,"Pellerin Milnor Corporation","PENDING_MILESTONE_COMPLETION","2017-04-27","2017-04-13 05:00:00","2017-06-09 05:00:00","2017-06-09 05:00:00","USD",1,627740,-627740,-627740,"  ","kB"
11072,"Abon East Africa Ltd, 2017-1 ",10586,"D.J Giancola Exports Incorporation","PENDING_MILESTONE_COMPLETION","2017-04-27","2017-04-13 05:00:00","2017-06-09 05:00:00","2017-06-09 05:00:00","USD",1,195249,-195249,-195249,"  ","kB"
11072,"Abon East Africa Ltd, 2017-1 ",10586,"D.J Giancola Exports Incorporation","PENDING_MILESTONE_COMPLETION","2017-05-04","2017-04-13 05:00:00","2017-06-09 05:00:00","2017-06-09 05:00:00","USD",1,195250,-195250,-195250,"  ","kB"
11072,"Abon East Africa Ltd, 2017-1 ",10587,"Pellerin Milnor Corporation","PENDING_MILESTONE_COMPLETION",,"2017-04-10 05:00:00","2017-06-09 05:00:00","2017-06-09 05:00:00","USD",,110778,,,"  ","kB"
