"project_id","project_name","milestone_name","milestone_description","milestone_status","milestone_start_date","milestone_completion_date","planned_start_date","planned_completion_date","document_id","document_name"
11072,"Abon East Africa Ltd, 2017-1 ","Purchase & Trade Agreement","Signing of Contract and Orig. Fee","Completed","2017-04-07 05:00:00","2017-04-27 05:00:00","2017-04-07 05:00:00","2017-04-19 05:00:00",6841,"Purchase & Trade Agreement"
11072,"Abon East Africa Ltd, 2017-1 ","Purchase & Trade Agreement","Signing of Contract and Orig. Fee","Completed","2017-04-07 05:00:00","2017-04-27 05:00:00","2017-04-07 05:00:00","2017-04-19 05:00:00",6842,"Purchase & Trade Agreement"
11072,"Abon East Africa Ltd, 2017-1 ","Purchase & Trade Agreement","Signing of Contract and Orig. Fee","Completed","2017-04-07 05:00:00","2017-04-27 05:00:00","2017-04-07 05:00:00","2017-04-19 05:00:00",6843,"Purchase & Trade Agreement"
11072,"Abon East Africa Ltd, 2017-1 ","Payments","","Completed","2017-04-16 05:00:00","2017-05-05 05:00:00","2017-04-13 05:00:00","2017-04-30 05:00:00",6844,"Supplier Payments and receipts"
11072,"Abon East Africa Ltd, 2017-1 ","Payments","","Completed","2017-04-16 05:00:00","2017-05-05 05:00:00","2017-04-13 05:00:00","2017-04-30 05:00:00",6845,"Supplier Payments"
11072,"Abon East Africa Ltd, 2017-1 ","Payments","","Completed","2017-04-16 05:00:00","2017-05-05 05:00:00","2017-04-13 05:00:00","2017-04-30 05:00:00",6846,"Supplier Payments"
11072,"Abon East Africa Ltd, 2017-1 ","Payments","","Completed","2017-04-16 05:00:00","2017-05-05 05:00:00","2017-04-13 05:00:00","2017-04-30 05:00:00",6847,"Supplier Payments"
11072,"Abon East Africa Ltd, 2017-1 ","Payments","","Completed","2017-04-16 05:00:00","2017-05-05 05:00:00","2017-04-13 05:00:00","2017-04-30 05:00:00",6848,"Supplier Payments and receipts"
11072,"Abon East Africa Ltd, 2017-1 ","Payments","","Completed","2017-04-16 05:00:00","2017-05-05 05:00:00","2017-04-13 05:00:00","2017-04-30 05:00:00",6849,"Supplier Payments and receipts"
11072,"Abon East Africa Ltd, 2017-1 ","Payments","Payments","Completed","2017-04-15 05:00:00","2017-04-27 05:00:00","2017-04-10 05:00:00","2017-04-16 05:00:00",7046,"Payment DJG"
11072,"Abon East Africa Ltd, 2017-1 ","Payments","Payments","Completed","2017-04-15 05:00:00","2017-04-27 05:00:00","2017-04-10 05:00:00","2017-04-16 05:00:00",7047,"Payment DJG"
11072,"Abon East Africa Ltd, 2017-1 ","Payments","Payments","Completed","2017-04-17 05:00:00","2017-05-01 05:00:00","2017-04-13 05:00:00","2017-04-19 05:00:00",7048,"Payment Pellerin"
11072,"Abon East Africa Ltd, 2017-1 ","Payments","Payments","Completed","2017-04-17 05:00:00","2017-05-01 05:00:00","2017-04-13 05:00:00","2017-04-19 05:00:00",7049,"Payment Pellerin"
11178,"Abon East Africa Ltd, 2017-2","Purchase & Trade Agreement","Signing of Contract and Orig. Fee","Completed","2017-04-03 05:00:00","2017-04-27 05:00:00","2017-04-03 05:00:00","2017-04-23 05:00:00",7054,"Purchase & Trade Agreement"
11178,"Abon East Africa Ltd, 2017-2","Purchase & Trade Agreement","Signing of Contract and Orig. Fee","Completed","2017-04-03 05:00:00","2017-04-27 05:00:00","2017-04-03 05:00:00","2017-04-23 05:00:00",7055,"Purchase & Trade Agreement"
11178,"Abon East Africa Ltd, 2017-2","Purchase & Trade Agreement","Signing of Contract and Orig. Fee","Completed","2017-04-03 05:00:00","2017-04-27 05:00:00","2017-04-03 05:00:00","2017-04-23 05:00:00",7056,"Purchase & Trade Agreement"
11178,"Abon East Africa Ltd, 2017-2","Payments","Payments","Completed","2017-04-13 05:00:00","2017-04-27 05:00:00","2017-04-13 05:00:00","2017-04-27 05:00:00",7057,"DJG  PAYMENT"
11178,"Abon East Africa Ltd, 2017-2","Payments","Payments","Completed","2017-04-13 05:00:00","2017-04-27 05:00:00","2017-04-13 05:00:00","2017-04-27 05:00:00",7058,"DJG 50% PAYMENT"
11178,"Abon East Africa Ltd, 2017-2","Payments","Payments","Completed","2017-04-20 05:00:00","2017-05-05 05:00:00","2017-04-20 05:00:00","2017-05-02 05:00:00",7059,"DJG last payment"
11178,"Abon East Africa Ltd, 2017-2","Payments","Payments","Completed","2017-04-20 05:00:00","2017-05-05 05:00:00","2017-04-20 05:00:00","2017-05-02 05:00:00",7060,"DJG last payment"
11179,"Abon East Africa Ltd, 2017-3 ","Purchase & Trade Agreement","Purchase & Trade Agreement","Completed","2017-04-07 05:00:00","2017-04-27 05:00:00","2017-04-07 05:00:00","2017-04-24 05:00:00",7061,"Purchase & Trade Agreement"
11179,"Abon East Africa Ltd, 2017-3 ","Purchase & Trade Agreement","Purchase & Trade Agreement","Completed","2017-04-07 05:00:00","2017-04-27 05:00:00","2017-04-07 05:00:00","2017-04-24 05:00:00",7062,"Purchase & Trade Agreement"
11179,"Abon East Africa Ltd, 2017-3 ","Purchase & Trade Agreement","Purchase & Trade Agreement","Completed","2017-04-07 05:00:00","2017-04-27 05:00:00","2017-04-07 05:00:00","2017-04-24 05:00:00",7063,"Purchase & Trade Agreement"
11072,"Abon East Africa Ltd, 2017-1 ","Payments","Payments","Completed","2017-04-15 05:00:00","2017-04-27 05:00:00","2017-04-10 05:00:00","2017-04-16 05:00:00",7290,"Payment DJG"
11072,"Abon East Africa Ltd, 2017-1 ","Payments","Payments","Completed","2017-04-17 05:00:00","2017-05-01 05:00:00","2017-04-13 05:00:00","2017-04-19 05:00:00",7291,"Payment Pellerin"
11072,"Abon East Africa Ltd, 2017-1 ","Payments","","Completed","2017-04-16 05:00:00","2017-05-05 05:00:00","2017-04-13 05:00:00","2017-04-30 05:00:00",7292,"Supplier Payments and receipts"
11178,"Abon East Africa Ltd, 2017-2","Payments","Payments","Completed","2017-04-13 05:00:00","2017-04-27 05:00:00","2017-04-13 05:00:00","2017-04-27 05:00:00",7293,"DJG 50% PAYMENT"
11178,"Abon East Africa Ltd, 2017-2","Payments","Payments","Completed","2017-04-13 05:00:00","2017-04-27 05:00:00","2017-04-13 05:00:00","2017-04-27 05:00:00",7294,"DJG 50% PAYMENT"
11178,"Abon East Africa Ltd, 2017-2","Payments","Payments","Completed","2017-04-20 05:00:00","2017-05-05 05:00:00","2017-04-20 05:00:00","2017-05-02 05:00:00",7295,"DJG last payment"
11178,"Abon East Africa Ltd, 2017-2","Payments","Payments","Completed","2017-04-20 05:00:00","2017-05-05 05:00:00","2017-04-20 05:00:00","2017-05-02 05:00:00",7296,"DJG last payment"
11178,"Abon East Africa Ltd, 2017-2","In Transit","Afritech shipment","Completed","2017-04-30 05:00:00","2017-05-10 05:00:00","2017-05-15 05:00:00","2017-06-09 05:00:00",7297,"Receipt of Afritech goods by Frank and Payor"
11178,"Abon East Africa Ltd, 2017-2","In Transit","Afritech shipment","Completed","2017-04-30 05:00:00","2017-05-10 05:00:00","2017-05-15 05:00:00","2017-06-09 05:00:00",7298,"Receipt of Afritech goods by Frank and Payor"
11178,"Abon East Africa Ltd, 2017-2","SME Kitting/Manufacturing/Delivery","Staging or Manufacturing Pictures","Pending","2017-06-13 05:00:00","2017-06-23 05:00:00","2017-06-13 05:00:00","2017-06-23 05:00:00",7299,"Delivery note-Afritech goods"
11178,"Abon East Africa Ltd, 2017-2","SME Kitting/Manufacturing/Delivery","Staging or Manufacturing Pictures","Pending","2017-06-13 05:00:00","2017-06-23 05:00:00","2017-06-13 05:00:00","2017-06-23 05:00:00",7300,"Delivery note-Afritech goods"
11178,"Abon East Africa Ltd, 2017-2","In Transit","Afritech shipment","Completed","2017-04-30 05:00:00","2017-05-10 05:00:00","2017-05-15 05:00:00","2017-06-09 05:00:00",7301,"Receipt of Afritech goods by Frank and Payor"
11178,"Abon East Africa Ltd, 2017-2","SME Kitting/Manufacturing/Delivery","Staging or Manufacturing Pictures","Pending","2017-06-13 05:00:00","2017-06-23 05:00:00","2017-06-13 05:00:00","2017-06-23 05:00:00",7302,"Delivery note-Afritech goods"
11179,"Abon East Africa Ltd, 2017-3 ","Payments","Payments","Completed","2017-04-13 05:00:00","2017-05-12 05:00:00","2017-04-13 05:00:00","2017-05-14 05:00:00",7303,"Afritech first payment"
